From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s),Xylene (ug/m3),RF (mm),AT (degree C)
2022-03-02 20:00:00,2022-03-02 21:00:00,20.25,45.75,5.9,27.2,14.95,5.72,6.08,0.84,18.77,0.47,1.15,28.73,58.25,0.57,281.5,12.0,,-0.1,0.22,0.0,21.65
2022-03-02 21:00:00,2022-03-02 22:00:00,23.25,37.75,1.77,28.1,15.88,5.97,5.43,0.76,17.57,0.53,1.02,28.85,49.25,0.55,286.0,12.0,,-0.1,0.2,0.0,21.58
2022-03-02 22:00:00,2022-03-02 23:00:00,19.0,25.75,3.1,28.5,17.7,5.87,4.9,0.63,19.93,0.43,0.93,28.83,40.5,0.45,237.25,11.75,,-0.1,0.15,0.0,21.7
2022-03-02 23:00:00,2022-03-03 00:00:00,14.5,29.0,3.55,26.85,17.15,5.85,4.9,0.54,24.35,0.38,0.6,28.85,39.5,0.6,275.0,12.0,,-0.1,0.1,0.0,21.6
2022-03-03 00:00:00,2022-03-03 01:00:00,16.5,30.25,0.93,21.85,11.82,6.15,5.35,0.46,32.35,0.27,0.53,28.83,41.5,0.4,270.75,12.0,,-0.1,0.1,0.0,21.2
2022-03-03 01:00:00,2022-03-03 02:00:00,9.25,23.25,1.83,16.57,10.33,6.2,5.12,0.44,40.75,0.08,0.4,28.85,42.5,0.53,262.0,12.0,,-0.1,0.1,0.0,21.05
2022-03-03 02:00:00,2022-03-03 03:00:00,9.0,18.75,2.2,10.75,7.5,6.35,5.33,0.42,43.2,0.0,0.2,28.85,41.0,0.32,285.0,12.0,,-0.1,0.1,0.0,21.17
2022-03-03 03:00:00,2022-03-03 04:00:00,7.0,20.75,2.2,12.7,7.95,6.58,6.1,0.47,35.3,0.0,0.15,29.05,43.0,0.4,274.75,12.25,,-0.1,0.1,0.0,21.02
2022-03-03 04:00:00,2022-03-03 05:00:00,13.0,23.75,1.7,22.62,12.43,7.15,6.5,0.56,27.72,0.0,0.18,28.83,48.25,0.4,278.25,12.0,,-0.1,0.1,0.0,20.32
2022-03-03 05:00:00,2022-03-03 06:00:00,21.75,33.0,0.9,27.4,14.75,6.42,5.9,0.58,25.6,0.0,0.0,28.77,47.5,0.38,288.25,12.0,,-0.1,0.1,0.0,20.27
2022-03-03 06:00:00,2022-03-03 07:00:00,22.25,28.0,2.07,32.35,17.62,6.23,6.4,0.68,20.53,0.05,0.25,28.8,42.0,0.35,287.0,17.0,,-0.1,0.1,0.0,20.68
2022-03-03 07:00:00,2022-03-03 08:00:00,26.0,34.25,4.4,36.08,19.57,5.8,7.78,0.71,17.62,0.4,0.5,28.8,43.5,0.4,282.25,100.75,,-0.1,0.1,0.0,21.6
2022-03-03 08:00:00,2022-03-03 09:00:00,26.0,42.75,1.7,30.33,14.83,6.22,8.07,0.71,27.95,0.4,0.62,28.85,43.0,1.0,247.0,243.5,,-0.1,0.12,0.0,23.82
2022-03-03 09:00:00,2022-03-03 10:00:00,24.75,38.0,3.63,25.38,15.45,7.28,8.18,0.66,35.38,0.4,0.78,28.77,45.0,1.45,234.75,437.5,,-0.1,0.15,0.0,24.68
2022-03-03 10:00:00,2022-03-03 11:00:00,19.75,37.75,3.02,19.85,13.0,8.93,8.65,0.72,39.62,0.35,0.7,29.8,49.75,1.6,218.0,419.25,,-0.1,0.17,0.0,24.82
2022-03-03 11:00:00,2022-03-03 12:00:00,18.75,44.5,3.75,17.85,12.5,9.15,7.05,0.82,35.0,0.32,0.45,30.4,56.5,1.52,237.75,399.25,,-0.1,0.1,0.0,24.42
2022-03-03 12:00:00,2022-03-03 13:00:00,24.75,39.25,2.85,17.83,10.73,7.33,5.03,0.7,35.1,0.38,0.53,30.68,54.5,1.9,227.25,536.25,,-0.1,0.12,0.0,24.92
2022-03-03 13:00:00,2022-03-03 14:00:00,20.75,39.5,2.33,18.75,10.35,7.97,5.45,0.69,35.33,0.38,0.5,30.42,54.75,1.98,237.75,183.0,,-0.1,0.1,0.0,24.8
2022-03-03 14:00:00,2022-03-03 15:00:00,32.0,50.0,2.93,21.05,12.5,8.25,4.75,0.77,34.2,0.3,0.55,30.57,62.25,1.83,241.5,135.5,,-0.1,0.1,0.0,24.2
2022-03-03 15:00:00,2022-03-03 16:00:00,38.0,61.0,3.1,18.07,12.18,8.82,5.07,0.83,39.65,0.23,0.38,32.55,60.75,1.53,251.25,119.5,,-0.1,0.12,0.0,24.3
2022-03-03 16:00:00,2022-03-03 17:00:00,31.0,67.5,1.6,15.85,8.88,8.7,8.68,0.76,47.25,0.3,0.55,30.88,61.25,1.65,229.25,52.5,,-0.1,0.1,0.0,23.7
2022-03-03 17:00:00,2022-03-03 18:00:00,40.25,70.0,4.17,19.02,12.28,8.78,12.8,0.78,45.2,0.25,0.47,29.8,67.25,1.52,251.5,28.75,,-0.1,0.1,0.0,22.6
2022-03-03 18:00:00,2022-03-03 19:00:00,49.5,72.0,1.2,20.35,11.57,8.35,13.6,0.79,41.62,0.4,1.15,29.12,65.25,1.72,263.0,14.75,,-0.1,0.15,0.0,22.23
2022-03-03 19:00:00,2022-03-03 20:00:00,47.25,74.0,1.43,19.68,11.15,8.45,16.88,0.75,43.48,0.4,0.78,28.85,66.5,1.8,260.5,11.75,,-0.1,0.1,0.0,21.87
2022-03-03 20:00:00,2022-03-03 21:00:00,46.75,86.0,2.57,19.73,12.0,8.5,24.48,0.75,36.9,0.38,0.65,28.82,68.5,1.9,257.25,11.75,,-0.1,0.1,0.0,21.65
2022-03-03 21:00:00,2022-03-03 22:00:00,47.75,74.5,1.95,17.02,10.65,7.92,28.12,0.68,36.65,0.38,0.53,28.8,61.75,1.87,254.5,12.0,,-0.1,0.1,0.0,21.68
2022-03-03 22:00:00,2022-03-03 23:00:00,33.5,64.0,2.1,13.3,8.78,7.8,17.77,0.63,40.3,0.38,0.4,28.88,60.25,1.7,252.25,11.75,,-0.1,0.1,0.0,21.6
2022-03-03 23:00:00,2022-03-04 00:00:00,30.0,56.75,1.9,11.55,7.67,7.8,13.45,0.66,40.5,0.35,0.3,28.88,66.5,1.25,270.25,11.75,,-0.1,0.1,0.0,21.2
2022-03-04 00:00:00,2022-03-04 01:00:00,32.5,61.25,1.93,10.65,7.23,7.53,11.8,0.7,39.08,0.3,0.27,28.88,67.5,1.17,260.0,11.75,,-0.1,0.1,0.0,20.98
2022-03-04 01:00:00,2022-03-04 02:00:00,31.5,57.25,1.93,7.03,5.3,7.78,9.4,0.69,44.45,0.3,0.15,28.85,69.0,1.2,255.5,11.75,,-0.1,0.1,0.0,20.88
2022-03-04 02:00:00,2022-03-04 03:00:00,32.25,51.75,2.08,5.23,4.5,8.12,8.05,0.72,44.85,0.15,0.05,28.92,74.5,1.18,262.5,11.5,,-0.1,0.1,0.0,20.55
2022-03-04 03:00:00,2022-03-04 04:00:00,31.5,52.75,1.85,6.5,4.97,8.53,7.75,0.75,38.03,0.28,0.1,29.23,81.5,1.33,266.25,11.25,,-0.1,0.1,0.0,20.2
2022-03-04 04:00:00,2022-03-04 05:00:00,36.5,60.25,1.23,10.03,6.3,8.07,8.78,0.8,32.35,0.25,0.0,28.95,86.25,1.6,265.5,12.0,,-0.1,0.1,0.0,19.9
2022-03-04 05:00:00,2022-03-04 06:00:00,39.25,65.25,2.0,10.72,5.97,8.43,7.92,0.81,32.5,0.38,0.0,28.93,87.0,1.52,267.75,12.5,,-0.1,0.1,0.0,19.8
2022-03-04 06:00:00,2022-03-04 07:00:00,45.5,64.75,1.07,14.22,7.97,8.57,9.25,0.77,29.1,0.38,0.05,28.92,87.75,1.73,263.0,15.75,,-0.1,0.1,0.0,19.8
2022-03-04 07:00:00,2022-03-04 08:00:00,53.75,80.25,1.45,16.45,9.95,8.82,11.65,0.81,27.65,0.43,0.4,28.9,86.5,1.55,253.25,73.25,,-0.1,0.1,0.0,20.17
2022-03-04 08:00:00,2022-03-04 09:00:00,54.75,80.75,3.45,20.67,10.75,8.25,14.22,0.84,29.2,0.45,0.45,28.85,81.0,1.73,256.5,189.5,,-0.1,0.1,0.0,21.27
2022-03-04 09:00:00,2022-03-04 10:00:00,50.0,72.75,2.6,19.77,12.0,8.7,13.65,0.8,33.5,0.45,0.8,28.98,76.75,1.57,248.25,209.0,,-0.1,0.1,0.0,21.88
2022-03-04 10:00:00,2022-03-04 11:00:00,48.0,79.75,1.73,18.98,11.0,9.32,14.05,0.76,36.08,0.45,0.97,29.4,71.5,1.65,235.25,354.0,,-0.1,0.1,0.0,22.95
2022-03-04 11:00:00,2022-03-04 12:00:00,47.0,82.5,2.75,17.0,11.3,9.4,9.75,0.77,39.47,0.4,0.93,30.05,67.75,1.85,221.5,461.5,,-0.1,0.1,0.0,23.48
2022-03-04 12:00:00,2022-03-04 13:00:00,37.25,74.0,1.8,14.27,8.5,8.2,8.45,0.8,41.93,0.47,1.35,30.75,63.75,1.68,226.5,466.5,,-0.1,0.12,0.0,24.38
2022-03-04 13:00:00,2022-03-04 14:00:00,42.25,68.0,1.33,14.12,6.95,7.9,7.7,0.78,45.75,0.47,0.97,30.65,60.5,1.82,234.75,146.75,,-0.1,0.12,0.0,24.68
2022-03-04 14:00:00,2022-03-04 15:00:00,36.5,63.25,3.6,13.8,8.3,8.1,6.5,0.78,47.67,0.45,0.62,30.38,60.0,1.9,243.25,89.25,,-0.12,0.1,0.0,24.7
2022-03-04 15:00:00,2022-03-04 16:00:00,35.25,73.5,3.95,15.93,11.7,8.15,6.4,0.8,44.12,0.35,0.57,30.3,60.75,1.95,244.0,64.75,,-0.1,0.12,0.0,24.47
2022-03-04 16:00:00,2022-03-04 17:00:00,35.75,63.5,2.4,14.68,9.78,7.72,5.6,0.77,41.1,0.33,0.52,30.05,62.75,1.82,250.25,60.5,,-0.12,0.1,0.0,24.0
2022-03-04 17:00:00,2022-03-04 18:00:00,35.25,60.5,1.7,16.15,9.97,7.47,4.47,0.81,39.05,0.35,0.55,29.73,69.25,1.55,247.0,39.5,,-0.1,0.1,0.0,23.25
2022-03-04 18:00:00,2022-03-04 19:00:00,37.0,72.0,2.88,19.1,12.47,7.52,6.03,0.85,35.67,0.5,0.8,29.48,76.0,1.35,262.25,15.0,,-0.1,0.1,0.0,22.27
2022-03-04 19:00:00,2022-03-04 20:00:00,39.0,68.0,2.0,16.93,10.65,7.17,6.12,0.81,36.97,0.53,0.68,29.18,81.0,1.65,263.0,12.25,,-0.1,0.12,0.0,21.6
2022-03-04 20:00:00,2022-03-04 21:00:00,37.75,76.5,3.3,18.38,12.48,8.05,6.45,0.91,31.8,0.5,0.6,29.43,83.75,1.2,265.25,13.0,,-0.1,0.1,0.0,21.25
2022-03-04 21:00:00,2022-03-04 22:00:00,44.75,85.0,2.93,17.72,10.75,8.52,7.68,0.86,27.2,0.57,0.73,28.9,87.5,1.48,259.75,14.0,,-0.1,0.12,0.0,20.98
2022-03-04 22:00:00,2022-03-04 23:00:00,48.75,83.5,1.78,13.88,8.85,8.55,8.8,0.81,27.3,0.55,0.65,28.75,88.0,1.35,266.25,14.25,,-0.1,0.12,0.0,20.9
2022-03-04 23:00:00,2022-03-05 00:00:00,46.0,70.0,2.07,13.97,8.55,8.1,8.85,0.77,28.27,0.47,0.38,29.07,87.5,1.3,260.75,14.5,,-0.1,0.1,0.0,20.88
2022-03-05 00:00:00,2022-03-05 01:00:00,46.0,71.75,1.75,12.67,8.18,8.03,9.6,0.74,29.48,0.5,0.35,29.1,87.0,1.23,267.75,15.5,,-0.1,0.1,0.0,20.65
2022-03-05 01:00:00,2022-03-05 02:00:00,36.75,73.0,2.23,10.35,7.3,7.95,9.33,0.75,34.55,0.45,0.25,29.08,86.25,0.98,274.5,15.75,,-0.1,0.08,0.0,20.42
2022-03-05 02:00:00,2022-03-05 03:00:00,35.25,59.0,2.17,10.72,7.47,7.72,8.88,0.72,34.95,0.4,0.12,29.05,82.75,0.85,281.0,14.0,,-0.1,0.08,0.0,20.38
2022-03-05 03:00:00,2022-03-05 04:00:00,32.5,51.75,2.0,19.0,11.75,7.72,8.22,0.76,31.2,0.35,0.3,29.45,80.5,1.02,277.0,12.75,,-0.1,0.08,0.0,20.35
2022-03-05 04:00:00,2022-03-05 05:00:00,30.75,49.5,1.23,18.07,10.32,6.83,8.47,0.76,30.93,0.4,0.4,29.0,81.25,1.02,274.5,12.75,,-0.1,0.1,0.0,20.3
2022-03-05 05:00:00,2022-03-05 06:00:00,31.0,52.0,4.1,22.27,13.15,6.4,8.75,0.8,28.1,0.38,0.4,29.0,80.75,0.93,270.25,12.75,,-0.1,0.1,0.0,20.18
2022-03-05 06:00:00,2022-03-05 07:00:00,33.5,49.5,4.47,26.1,15.75,6.0,8.65,0.85,26.93,0.43,0.47,28.98,79.0,1.15,266.75,18.0,,-0.1,0.1,0.0,20.35
2022-03-05 07:00:00,2022-03-05 08:00:00,31.75,62.75,3.13,28.7,16.0,6.05,13.6,0.9,21.85,0.57,0.55,28.95,75.75,1.25,273.0,77.25,,-0.1,0.1,0.0,20.73
2022-03-05 08:00:00,2022-03-05 09:00:00,28.25,65.5,1.77,24.62,14.57,6.38,17.52,0.82,26.7,0.55,0.82,29.3,65.75,1.5,265.75,225.0,,-0.1,0.15,0.0,22.38
2022-03-05 09:00:00,2022-03-05 10:00:00,22.25,47.25,1.5,23.3,11.62,7.0,13.0,0.82,29.6,0.55,1.18,29.93,60.25,1.3,257.75,309.5,,-0.1,0.22,0.0,23.38
2022-03-05 10:00:00,2022-03-05 11:00:00,28.25,42.5,3.9,22.65,13.4,7.2,9.6,0.79,33.4,0.57,1.35,30.05,54.5,1.25,252.25,465.0,,-0.1,0.23,0.0,24.62
2022-03-05 11:00:00,2022-03-05 12:00:00,26.5,45.0,1.7,21.75,13.0,7.6,8.2,0.8,33.65,0.43,1.17,30.02,59.25,1.23,233.25,378.25,,-0.1,0.17,0.0,24.7
2022-03-05 12:00:00,2022-03-05 13:00:00,27.0,47.75,1.9,20.97,6.9,6.53,5.62,0.73,31.1,0.43,1.18,30.0,58.25,1.35,249.5,476.5,,-0.1,0.17,0.0,25.1
2022-03-05 13:00:00,2022-03-05 14:00:00,23.25,45.75,3.47,18.75,11.62,6.72,5.25,0.72,30.95,0.45,1.3,29.95,60.75,1.42,245.0,134.0,,-0.1,0.2,0.0,25.07
2022-03-05 14:00:00,2022-03-05 15:00:00,22.25,45.25,1.43,18.55,10.55,6.43,5.0,0.73,30.6,0.43,1.05,29.93,62.25,1.4,217.75,115.75,,-0.1,0.18,0.0,24.75
2022-03-05 15:00:00,2022-03-05 16:00:00,26.75,54.5,2.77,21.55,13.73,6.75,5.5,0.76,29.98,0.47,0.9,30.03,62.0,1.42,242.75,77.75,,-0.1,0.12,0.0,24.68
2022-03-05 16:00:00,2022-03-05 17:00:00,32.5,57.0,3.43,22.15,13.22,6.85,6.85,0.78,37.25,0.72,6.35,30.23,64.75,1.3,241.0,53.0,,-0.1,1.75,0.0,24.18
2022-03-05 17:00:00,2022-03-05 18:00:00,39.25,69.75,2.08,18.5,11.53,6.98,7.78,0.74,40.0,0.65,8.25,29.95,69.75,1.55,243.0,31.25,,-0.1,2.73,0.0,23.15
2022-03-05 18:00:00,2022-03-05 19:00:00,28.5,69.25,,22.5,5.72,6.6,6.3,0.83,27.2,0.65,4.33,29.52,74.25,1.1,263.75,14.75,,-0.1,1.25,0.0,22.12
2022-03-05 19:00:00,2022-03-05 20:00:00,29.25,59.75,3.9,26.27,14.03,6.42,6.33,0.79,24.67,0.62,2.8,28.98,79.5,1.12,253.75,12.0,,-0.1,0.67,0.0,21.45
2022-03-05 20:00:00,2022-03-05 21:00:00,29.0,57.5,2.6,26.67,16.3,7.2,5.53,0.83,23.52,0.53,1.4,28.98,81.25,0.82,233.0,12.0,,-0.1,0.33,0.0,21.02
2022-03-05 21:00:00,2022-03-05 22:00:00,36.0,60.75,1.7,24.77,13.67,6.6,5.52,0.86,24.88,0.6,1.18,28.95,83.0,1.02,261.5,12.0,,-0.1,0.28,0.0,20.82
2022-03-05 22:00:00,2022-03-05 23:00:00,36.75,55.75,2.62,19.83,12.68,6.6,5.42,0.76,29.05,0.5,0.85,28.95,85.75,1.02,260.75,13.75,,-0.1,0.2,0.0,20.68
2022-03-05 23:00:00,2022-03-06 00:00:00,29.75,52.75,2.18,19.85,12.35,6.47,6.92,0.73,25.5,0.5,0.68,29.0,85.0,0.77,257.5,14.25,,-0.1,0.2,0.0,20.48
2022-03-06 00:00:00,2022-03-06 01:00:00,27.25,52.5,2.03,15.72,9.97,6.22,5.47,0.69,29.17,0.4,0.53,28.98,80.5,0.85,254.0,12.25,,-0.1,0.1,0.0,20.52
2022-03-06 01:00:00,2022-03-06 02:00:00,19.5,40.5,1.45,10.82,6.92,5.82,3.58,0.63,31.9,0.38,0.5,28.95,76.0,1.07,249.25,12.0,,-0.1,0.1,0.0,20.62
2022-03-06 02:00:00,2022-03-06 03:00:00,13.25,26.5,2.23,10.07,6.35,6.2,3.67,0.65,33.55,0.3,0.35,29.0,76.0,1.2,250.0,12.0,,-0.1,0.1,0.0,20.55
2022-03-06 03:00:00,2022-03-06 04:00:00,18.0,30.0,2.17,16.73,10.68,6.43,3.12,0.73,29.5,0.2,0.25,29.35,80.75,1.1,245.75,12.25,,-0.1,0.1,0.0,20.35
2022-03-06 04:00:00,2022-03-06 05:00:00,21.25,46.5,2.53,15.43,9.72,6.15,3.5,0.77,31.18,0.2,0.18,28.98,87.0,1.07,247.25,14.0,,-0.1,0.1,0.0,20.07
