REF_DATE,GEO,Type of crop,Average farm price (dollars per tonne),Average yield (kilograms per hectare),Production (metric tonnes),Seeded area (acres),Seeded area (hectares),Total farm value (dollars)
1908,NS,"Peas, dry",45.0,915.0,550.0,1500.0,600.0,25
1908,NS,"Rye, all",27.0,1000.0,300.0,700.0,300.0,8
1908,NS,Tame hay,1.14,3810.0,988000.0,640800.0,259000.0,11242
1908,NS,"Wheat, all",39.0,1170.0,9750.0,20600.0,8350.0,378
1908,ON,Barley,24.0,1530.0,459900.0,743800.0,301000.0,11217
1908,ON,"Beans, all dry (white and coloured)",56.0,1410.0,24400.0,42800.0,17300.0,1355
1908,ON,Buckwheat,25.0,1345.0,63300.0,116300.0,47100.0,1570
1908,ON,Corn for grain,20.0,4120.0,552000.0,332200.0,134000.0,10871
1908,ON,Corn for silage,0.43,26060.0,2241000.0,212400.0,86000.0,9708
1908,ON,Mixed grains,24.0,1770.0,301600.0,421000.0,170400.0,7315
1908,ON,Oats,26.0,1275.0,1601100.0,3108400.0,1257900.0,41425
1908,ON,"Peas, dry",30.0,1195.0,171300.0,354600.0,143500.0,5123
1908,ON,"Rye, all",28.0,1020.0,26200.0,63400.0,25700.0,745
1908,ON,Sugar beets,0.61,26400.0,60800.0,5600.0,2300.0,370
1908,ON,Tame hay,1.21,3270.0,4706000.0,3552700.0,1438000.0,57160
1908,ON,"Wheat, all",33.0,1495.0,491500.0,812400.0,328900.0,16021
1908,ON,"Wheat, spring",32.0,1060.0,61500.0,143000.0,57900.0,1961
1908,ON,"Wheat, winter remaining",33.0,1585.0,430000.0,,,14060
1908,PP,Barley,18.0,1405.0,498000.0,873300.0,354000.0,8755
1908,PP,Flaxseed,38.0,680.0,38100.0,139300.0,56000.0,1457
1908,PP,Oats,19.0,1330.0,1492000.0,2772300.0,1121000.0,29049
1908,PP,"Peas, dry",15.0,1415.0,850.0,1600.0,600.0,13
1908,PP,"Rye, all",25.0,1285.0,9000.0,15800.0,7000.0,223
1908,PP,Sugar beets,0.55,18100.0,38100.0,5200.0,2100.0,208
1908,PP,Tame hay,0.8,4000.0,320000.0,190600.0,80000.0,2571
1908,PP,"Wheat, all",29.0,1100.0,2500000.0,5624000.0,2277000.0,72424
1908,PEI,Barley,28.0,1665.0,4000.0,5900.0,2400.0,112
1908,PEI,Buckwheat,25.0,1500.0,2400.0,3900.0,1600.0,60
1908,PEI,Corn for silage,0.44,1667.0,5000.0,800.0,300.0,22
1908,PEI,Mixed grains,25.0,2035.0,12400.0,15000.0,6100.0,310
1908,PEI,Oats,26.0,1285.0,78000.0,150100.0,60750.0,2023
1908,PEI,"Peas, dry",35.0,1600.0,400.0,600.0,250.0,14
1908,PEI,Tame hay,1.07,3900.0,378000.0,238500.0,97000.0,4049
1908,PEI,"Wheat, all",35.0,960.0,10700.0,27600.0,11150.0,370
1908,QU,Barley,21.0,1065.0,47200.0,109600.0,44400.0,1012
1908,QU,"Beans, all dry (white and coloured)",63.0,1445.0,7000.0,12000.0,4850.0,441
1908,QU,Buckwheat,31.0,1240.0,45950.0,91400.0,37000.0,1435
1908,QU,Corn for grain,34.0,2105.0,28600.0,33600.0,13600.0,963
1908,QU,Corn for silage,0.5,22470.0,400000.0,44100.0,17800.0,2015
1908,QU,Mixed grains,34.0,1230.0,66300.0,133200.0,53900.0,2269
1908,QU,Oats,35.0,875.0,547100.0,1542500.0,624200.0,19229
1908,QU,"Peas, dry",42.0,875.0,18350.0,51900.0,21000.0,767
1908,QU,"Rye, all",34.0,1010.0,8300.0,20200.0,8200.0,283
1908,QU,Tame hay,1.21,2690.0,3151000.0,2893800.0,1171000.0,38198
1908,QU,"Wheat, all",42.0,910.0,38800.0,105500.0,42700.0,1633
1908,SK,Barley,18.0,1275.0,42000.0,81000.0,33000.0,754
1908,SK,Flaxseed,39.0,645.0,29100.0,110000.0,45000.0,1128
1908,SK,Oats,19.0,1195.0,450000.0,930100.0,376000.0,8470
1908,SK,"Rye, all",45.0,1000.0,1000.0,3000.0,1000.0,45
1908,SK,Tame hay,0.55,2400.0,24000.0,14300.0,10000.0,133
1908,SK,"Wheat, all",27.0,975.0,946000.0,2396000.0,970000.0,25883
1909,AB,Barley,15.0,1745.0,131000.0,186000.0,75000.0,2016
1909,AB,Flaxseed,41.0,1400.0,2800.0,5800.0,2000.0,114
1909,AB,Oats,16.0,1785.0,592000.0,820000.0,332000.0,9287
1909,AB,"Rye, all",20.0,1335.0,4000.0,6800.0,3000.0,81
1909,AB,Sugar beets,0.55,18100.0,14500.0,2000.0,800.0,80
1909,AB,Tame hay,0.99,4050.0,81000.0,60400.0,20000.0,800
1909,AB,"Wheat, all",27.0,1675.0,261000.0,385000.0,156000.0,7037
1909,BC,Barley,0.0,0.0,0.0,0.0,0.0,0
1909,BC,Oats,0.0,0.0,0.0,0.0,0.0,0
1909,BC,"Wheat, all",0.0,0.0,0.0,0.0,0.0,0
1909,CA,Barley,21.0,1600.0,1206450.0,1864900.0,755200.0,25434
1909,CA,"Beans, all dry (white and coloured)",52.0,1595.0,35950.0,55800.0,22550.0,1881
1909,CA,Buckwheat,27.0,1485.0,169900.0,282400.0,114350.0,4554
1909,CA,Corn for grain,26.0,3450.0,489600.0,352200.0,142000.0,12760
1909,CA,Corn for silage,0.6,23060.0,2521000.0,269600.0,109300.0,15116
1909,CA,Flaxseed,49.0,1005.0,56300.0,138500.0,56000.0,2761
1909,CA,Mixed grains,28.0,1680.0,395850.0,582100.0,235550.0,10916
1909,CA,Oats,22.0,1450.0,5451400.0,9302600.0,3764800.0,122390
1909,CA,"Peas, dry",32.0,1395.0,221650.0,393300.0,159150.0,7124
1909,CA,"Rye, all",29.0,1180.0,43902.0,91300.0,37181.0,1254
1909,CA,Sugar beets,0.64,19500.0,78000.0,10000.0,4000.0,500
1909,CA,Tame hay,1.23,3240.0,10776000.0,8210300.0,3325000.0,132288
1909,CA,"Wheat, all",31.0,1445.0,4537850.0,7750400.0,3135950.0,141320
1909,MA,Barley,17.0,1610.0,454000.0,696000.0,282000.0,7929
1909,MA,Flaxseed,52.0,900.0,8100.0,22400.0,9000.0,418
1909,MA,Oats,20.0,1515.0,852000.0,1390000.0,563000.0,17178
1909,MA,"Peas, dry",17.0,1300.0,650.0,1200.0,500.0,11
1909,MA,"Rye, all",23.0,1000.0,2000.0,4700.0,2000.0,46
1909,MA,Tame hay,0.84,3100.0,155000.0,115700.0,50000.0,1298
1909,MA,"Wheat, all",32.0,1260.0,1434000.0,2808000.0,1136000.0,45854
1909,MP,Barley,32.0,1445.0,10550.0,18000.0,7300.0,334
1909,MP,Mixed grains,27.0,1905.0,20650.0,26800.0,10850.0,561
1909,MP,Oats,30.0,1175.0,251900.0,529300.0,214200.0,7495
1909,MP,Tame hay,1.16,3400.0,2145000.0,1558500.0,631000.0,24952
1909,MP,"Wheat, all",40.0,1345.0,35950.0,66100.0,26750.0,1430
1909,NB,Barley,32.0,1575.0,2050.0,3200.0,1300.0,65
1909,NB,"Beans, all dry (white and coloured)",99.0,3070.0,2150.0,1700.0,700.0,212
1909,NB,Buckwheat,25.0,1550.0,37600.0,59900.0,24250.0,950
1909,NB,Corn for silage,0.35,36670.0,11000.0,800.0,300.0,38
1909,NB,Mixed grains,30.0,1650.0,3300.0,5000.0,2000.0,98
1909,NB,Oats,31.0,1060.0,89050.0,207200.0,83850.0,2801
1909,NB,"Peas, dry",49.0,1790.0,1700.0,2400.0,950.0,84
1909,NB,"Rye, all",29.0,1260.0,102.0,200.0,81.0,3
1909,NB,Tame hay,1.13,2810.0,777000.0,684400.0,277000.0,8777
1909,NB,"Wheat, all",41.0,1350.0,10750.0,19600.0,7950.0,440
1909,NS,Barley,35.0,1335.0,4800.0,8900.0,3600.0,170
1909,NS,"Beans, all dry (white and coloured)",83.0,1955.0,2250.0,2900.0,1150.0,186
1909,NS,Buckwheat,29.0,1375.0,10250.0,18400.0,7450.0,294
1909,NS,Corn for silage,0.94,13330.0,8000.0,1500.0,600.0,75
1909,NS,Mixed grains,31.0,1805.0,5150.0,7000.0,2850.0,159
1909,NS,Oats,33.0,1200.0,67200.0,138100.0,55900.0,2214
1909,NS,"Peas, dry",46.0,2635.0,1450.0,1400.0,550.0,66
1909,NS,"Rye, all",30.0,2000.0,400.0,600.0,200.0,12
1909,NS,Tame hay,1.24,3950.0,1016000.0,634400.0,257000.0,12602
1909,NS,"Wheat, all",43.0,1335.0,11000.0,20400.0,8250.0,477
1909,ON,Barley,26.0,1560.0,456200.0,721500.0,292000.0,11670
1909,ON,"Beans, all dry (white and coloured)",41.0,1540.0,24600.0,39600.0,16000.0,1000
1909,ON,Buckwheat,26.0,1465.0,76900.0,129700.0,52500.0,1993
1909,ON,Corn for grain,26.0,3590.0,463000.0,320000.0,129000.0,11837
1909,ON,Corn for silage,0.61,22630.0,2082000.0,227000.0,92000.0,12691
1909,ON,Mixed grains,26.0,1745.0,297800.0,422300.0,170900.0,7864
1909,ON,Oats,27.0,1325.0,1684000.0,3142200.0,1271600.0,45315
1909,ON,"Peas, dry",31.0,1425.0,197000.0,341300.0,138100.0,6008
1909,ON,"Rye, all",28.0,1205.0,27900.0,57300.0,23200.0,770
1909,ON,Sugar beets,0.66,19800.0,63500.0,8000.0,3200.0,420
1909,ON,Tame hay,1.4,3030.0,4330000.0,3535600.0,1431000.0,60618
1909,ON,"Wheat, all",37.0,1550.0,442200.0,705800.0,285500.0,16370
1909,ON,"Wheat, spring",36.0,1170.0,59200.0,124700.0,50500.0,2115
1909,ON,"Wheat, winter remaining",37.0,1630.0,383000.0,,,14255
1909,PP,Barley,17.0,1660.0,683000.0,1017000.0,412000.0,11563
1909,PP,Flaxseed,49.0,1005.0,56300.0,138500.0,56000.0,2761
1909,PP,Oats,17.0,1740.0,2860000.0,4057000.0,1642000.0,49689
1909,PP,"Peas, dry",17.0,1300.0,650.0,1200.0,500.0,11
1909,PP,"Rye, all",24.0,1165.0,7000.0,14200.0,6000.0,168
1909,PP,Sugar beets,0.55,18100.0,14500.0,2000.0,800.0,80
1909,PP,Tame hay,0.85,3360.0,269000.0,192600.0,80000.0,2278
1909,PP,"Wheat, all",30.0,1440.0,4014000.0,6878000.0,2783000.0,121560
1909,PEI,Barley,27.0,1540.0,3700.0,5900.0,2400.0,99
1909,PEI,Buckwheat,25.0,1290.0,2000.0,3800.0,1550.0,50
1909,PEI,Corn for silage,0.36,3000.0,9000.0,700.0,300.0,32
1909,PEI,Mixed grains,25.0,2035.0,12200.0,14800.0,6000.0,304
1909,PEI,Oats,26.0,1285.0,95650.0,184000.0,74450.0,2480
1909,PEI,"Peas, dry",35.0,1600.0,400.0,600.0,250.0,14
1909,PEI,Tame hay,1.01,3630.0,352000.0,239700.0,97000.0,3572
1909,PEI,"Wheat, all",36.0,1345.0,14200.0,26100.0,10550.0,513
1909,QU,Barley,33.0,1290.0,56700.0,108400.0,43900.0,1867
1909,QU,"Beans, all dry (white and coloured)",69.0,1480.0,6950.0,11600.0,4700.0,478
1909,QU,Buckwheat,29.0,1510.0,43150.0,70600.0,28600.0,1267
1909,QU,Corn for grain,35.0,2045.0,26600.0,32200.0,13000.0,923
1909,QU,Corn for silage,0.55,25530.0,411000.0,39700.0,16100.0,2279
1909,QU,Mixed grains,32.0,1440.0,77400.0,133000.0,53800.0,2491
1909,QU,Oats,30.0,1030.0,655500.0,1574100.0,637000.0,19891
1909,QU,"Peas, dry",46.0,1090.0,20450.0,46400.0,18800.0,941
1909,QU,"Rye, all",35.0,1105.0,8500.0,19000.0,7700.0,301
1909,QU,Tame hay,1.1,3410.0,4032000.0,2923600.0,1183000.0,44440
1909,QU,"Wheat, all",43.0,1125.0,45700.0,100500.0,40700.0,1960
1909,SK,Barley,17.0,1780.0,98000.0,135000.0,55000.0,1618
1909,SK,Flaxseed,49.0,1010.0,45400.0,110300.0,45000.0,2229
1909,SK,Oats,16.0,1895.0,1416000.0,1847000.0,747000.0,23224
1909,SK,"Rye, all",41.0,1000.0,1000.0,2700.0,1000.0,41
1909,SK,Tame hay,0.55,3300.0,33000.0,16500.0,10000.0,180
1909,SK,"Wheat, all",30.0,1555.0,2319000.0,3685000.0,1491000.0,68669
1910,AB,Barley,20.0,1100.0,54000.0,121400.0,49000.0,1075
1910,AB,Corn for silage,0.9,4000.0,2000.0,1300.0,500.0,18
1910,AB,Flaxseed,82.0,155.0,2000.0,30900.0,13000.0,163
1910,AB,Mixed grains,21.0,1145.0,800.0,1800.0,700.0,17
1910,AB,Oats,22.0,825.0,261000.0,783100.0,317000.0,5749
1910,AB,"Peas, dry",40.0,1000.0,100.0,300.0,100.0,4
1910,AB,"Rye, all",20.0,1000.0,3000.0,6700.0,3000.0,59
1910,AB,Sugar beets,0.55,13200.0,5300.0,1079.0,400.0,29
1910,AB,Tame hay,1.12,1970.0,118000.0,152400.0,60000.0,1321
1910,AB,"Wheat, all",27.0,695.0,247000.0,879800.0,356000.0,6676
1910,BC,Barley,39.0,1375.0,1100.0,1900.0,800.0,43
1910,BC,"Beans, all dry (white and coloured)",87.0,1500.0,150.0,300.0,100.0,13
1910,BC,Corn for silage,0.6,15000.0,3000.0,400.0,200.0,18
1910,BC,Mixed grains,44.0,1250.0,250.0,500.0,200.0,11
1910,BC,Oats,37.0,2030.0,27200.0,33200.0,13400.0,1005
1910,BC,"Peas, dry",37.0,2000.0,1200.0,1600.0,600.0,44
1910,BC,"Rye, all",30.0,1000.0,200.0,400.0,200.0,6
1910,BC,Tame hay,2.0,3600.0,198000.0,136400.0,55000.0,3963
1910,BC,"Wheat, all",40.0,1475.0,5600.0,9500.0,3800.0,224
1910,CA,Barley,23.0,1215.0,628550.0,1283100.0,518350.0,14654
1910,CA,"Beans, all dry (white and coloured)",63.0,1210.0,22550.0,46100.0,18600.0,1417
1910,CA,Buckwheat,26.0,1070.0,156800.0,361900.0,146450.0,4095
1910,CA,Corn for grain,21.0,3065.0,363600.0,293600.0,118600.0,7664
1910,CA,Corn for silage,0.36,20630.0,2456000.0,294300.0,119050.0,8775
1910,CA,Flaxseed,82.0,455.0,107850.0,582200.0,236100.0,8870
1910,CA,Mixed grains,24.0,1545.0,267150.0,427000.0,172750.0,6308
1910,CA,Oats,23.0,1080.0,3785150.0,8656200.0,3502600.0,86796
1910,CA,"Peas, dry",32.0,910.0,130450.0,355200.0,143650.0,4196
1910,CA,"Rye, all",26.0,850.0,39900.0,114700.0,46900.0,1038
1910,CA,Sugar beets,0.64,24700.0,170500.0,17045.0,6900.0,1096
1910,CA,Tame hay,0.96,2820.0,9545000.0,8344100.0,3384000.0,91289
1910,CA,"Wheat, all",29.0,1000.0,3595200.0,8864500.0,3587950.0,104817
1910,MA,Barley,21.0,845.0,142000.0,416000.0,168000.0,2925
1910,MA,Corn for silage,0.72,6840.0,13000.0,4600.0,1900.0,94
1910,MA,Flaxseed,86.0,320.0,4500.0,34700.0,14000.0,387
1910,MA,Mixed grains,20.0,1000.0,200.0,500.0,200.0,4
1910,MA,Oats,21.0,955.0,468000.0,1209200.0,489000.0,9903
1910,MA,"Peas, dry",40.0,1500.0,150.0,300.0,100.0,6
1910,MA,"Rye, all",20.0,1000.0,1000.0,2700.0,1000.0,20
1910,MA,Tame hay,0.89,1900.0,114000.0,138200.0,60000.0,1020
1910,MA,"Wheat, all",31.0,830.0,929000.0,2759400.0,1117000.0,28584
1910,MP,Barley,33.0,1305.0,6850.0,12800.0,5250.0,224
1910,MP,Mixed grains,25.0,1670.0,6600.0,9700.0,3950.0,167
1910,MP,Oats,27.0,1090.0,211650.0,478900.0,193800.0,5742
1910,MP,Tame hay,0.91,2670.0,1496000.0,1385900.0,561000.0,13597
1910,MP,"Wheat, all",38.0,1155.0,25300.0,54400.0,21950.0,953
1910,NB,Barley,34.0,1190.0,1250.0,2600.0,1050.0,42
1910,NB,"Beans, all dry (white and coloured)",73.0,1500.0,150.0,200.0,100.0,11
1910,NB,Buckwheat,24.0,1060.0,25050.0,58400.0,23650.0,609
1910,NB,Corn for silage,0.45,20000.0,2000.0,200.0,100.0,9
1910,NB,Mixed grains,30.0,1335.0,400.0,700.0,300.0,12
1910,NB,Oats,27.0,1050.0,85400.0,201100.0,81400.0,2332
1910,NB,"Peas, dry",40.0,1335.0,200.0,400.0,150.0,8
1910,NB,"Rye, all",0.0,1000.0,0.0,0.0,0.0,0
1910,NB,Tame hay,0.83,2380.0,607000.0,630300.0,255000.0,5035
1910,NB,"Wheat, all",39.0,1030.0,5550.0,13400.0,5400.0,218
1910,NS,Barley,37.0,1410.0,3100.0,5400.0,2200.0,114
1910,NS,"Beans, all dry (white and coloured)",80.0,1165.0,350.0,700.0,300.0,28
1910,NS,Buckwheat,29.0,1170.0,4500.0,9500.0,3850.0,132
1910,NS,Corn for silage,0.42,20000.0,5000.0,600.0,250.0,21
1910,NS,Mixed grains,31.0,1685.0,1600.0,2400.0,950.0,49
1910,NS,Oats,32.0,1175.0,45850.0,96300.0,38950.0,1466
1910,NS,"Peas, dry",60.0,1000.0,50.0,100.0,50.0,3
1910,NS,"Rye, all",50.0,500.0,100.0,400.0,200.0,5
1910,NS,Tame hay,0.99,3000.0,657000.0,540600.0,219000.0,6533
1910,NS,"Wheat, all",38.0,1230.0,6100.0,12200.0,4950.0,230
1910,ON,Barley,24.0,1505.0,306700.0,503200.0,203600.0,7414
1910,ON,"Beans, all dry (white and coloured)",61.0,1205.0,19800.0,40600.0,16400.0,1214
1910,ON,Buckwheat,23.0,1070.0,72550.0,167300.0,67700.0,1699
1910,ON,Corn for grain,20.0,3145.0,349000.0,274800.0,111000.0,7146
1910,ON,Corn for silage,0.34,21050.0,2084000.0,245300.0,99000.0,7109
1910,ON,Flaxseed,65.0,590.0,2100.0,8800.0,3550.0,136
1910,ON,Mixed grains,23.0,1650.0,216300.0,323400.0,130900.0,4889
1910,ON,Oats,23.0,1195.0,1387000.0,2871300.0,1162000.0,31623
1910,ON,"Peas, dry",31.0,900.0,117350.0,322000.0,130300.0,3655
1910,ON,"Rye, all",26.0,835.0,31300.0,92700.0,37500.0,807
1910,ON,Sugar beets,0.65,25400.0,165200.0,15966.0,6500.0,1067
1910,ON,Tame hay,0.96,3110.0,4103000.0,3261800.0,1320000.0,39526
1910,ON,"Wheat, all",32.0,1530.0,539900.0,870400.0,352700.0,17090
1910,ON,"Wheat, spring",32.0,1205.0,53900.0,110400.0,44700.0,1702
1910,ON,"Wheat, winter remaining",32.0,1580.0,486000.0,,,15362
1910,PP,Barley,20.0,980.0,263000.0,667100.0,269000.0,5300
1910,PP,Corn for silage,0.74,5930.0,16000.0,6500.0,2700.0,118
1910,PP,Flaxseed,83.0,455.0,105400.0,572000.0,232000.0,8709
1910,PP,Mixed grains,22.0,1090.0,1200.0,2900.0,1100.0,26
1910,PP,Oats,20.0,1045.0,1638000.0,3880600.0,1570000.0,33275
1910,PP,"Peas, dry",37.0,1165.0,350.0,800.0,300.0,13
1910,PP,"Rye, all",19.0,1000.0,4500.0,10200.0,4500.0,86
1910,PP,Sugar beets,0.55,13200.0,5300.0,1079.0,400.0,29
1910,PP,Tame hay,0.98,1950.0,273000.0,328500.0,140000.0,2663
1910,PP,"Wheat, all",29.0,940.0,2999000.0,7867400.0,3184000.0,85474
1910,PEI,Barley,27.0,1250.0,2500.0,4900.0,2000.0,68
1910,PEI,Buckwheat,27.0,1000.0,950.0,2400.0,950.0,26
1910,PEI,Corn for silage,0.35,2000.0,2000.0,200.0,100.0,7
1910,PEI,Mixed grains,23.0,1705.0,4600.0,6600.0,2700.0,105
1910,PEI,Oats,24.0,1095.0,80400.0,181500.0,73450.0,1943
1910,PEI,"Peas, dry",20.0,500.0,50.0,0.0,0.0,1
1910,PEI,Tame hay,0.87,2670.0,232000.0,215100.0,87000.0,2029
1910,PEI,"Wheat, all",37.0,1175.0,13650.0,28700.0,11600.0,505
1910,QU,Barley,33.0,1280.0,50900.0,98200.0,39700.0,1673
1910,QU,"Beans, all dry (white and coloured)",72.0,1235.0,2100.0,4200.0,1700.0,151
1910,QU,Buckwheat,30.0,1070.0,53750.0,124200.0,50300.0,1629
1910,QU,Corn for grain,35.0,1920.0,14600.0,18800.0,7600.0,518
1910,QU,Corn for silage,0.43,20600.0,344000.0,41200.0,16700.0,1494
1910,QU,Flaxseed,71.0,635.0,350.0,1400.0,550.0,25
1910,QU,Mixed grains,28.0,1170.0,42800.0,90400.0,36600.0,1216
1910,QU,Oats,29.0,925.0,521300.0,1392100.0,563400.0,15151
1910,QU,"Peas, dry",42.0,920.0,11250.0,30300.0,12250.0,472
1910,QU,"Rye, all",35.0,845.0,3800.0,11100.0,4500.0,133
1910,QU,Tame hay,0.91,2660.0,3475000.0,3231500.0,1308000.0,31539
1910,QU,"Wheat, all",42.0,995.0,25400.0,62900.0,25500.0,1076
1910,SK,Barley,19.0,1290.0,67000.0,129600.0,52000.0,1300
1910,SK,Corn for silage,0.6,333.0,1000.0,700.0,300.0,6
1910,SK,Flaxseed,83.0,480.0,98900.0,506400.0,205000.0,8160
1910,SK,Mixed grains,25.0,1000.0,200.0,600.0,200.0,5
1910,SK,Oats,19.0,1190.0,909000.0,1888400.0,764000.0,17624
1910,SK,"Peas, dry",30.0,1000.0,100.0,200.0,100.0,3
1910,SK,"Rye, all",12.0,500.0,500.0,800.0,500.0,6
1910,SK,Tame hay,0.79,2050.0,41000.0,37900.0,20000.0,322
1910,SK,"Wheat, all",28.0,1065.0,1823000.0,4228200.0,1711000.0,50213
1911,AB,Barley,19.0,1440.0,95000.0,164100.0,66000.0,1783
1911,AB,Corn for silage,1.1,3330.0,1000.0,700.0,300.0,11
1911,AB,Flaxseed,47.0,660.0,28300.0,107300.0,43000.0,1339
1911,AB,Mixed grains,21.0,1545.0,1700.0,2800.0,1100.0,35
1911,AB,Oats,18.0,1840.0,910000.0,1221200.0,494000.0,16516
1911,AB,"Peas, dry",45.0,1000.0,200.0,500.0,200.0,9
1911,AB,"Rye, all",24.0,1665.0,10000.0,14400.0,6000.0,240
1911,AB,Sugar beets,0.55,18100.0,12700.0,1795.0,700.0,70
1911,AB,Tame hay,1.35,3770.0,264000.0,170300.0,70000.0,3557
1911,AB,"Wheat, all",23.0,1500.0,995000.0,1640000.0,664000.0,22516
1911,BC,Barley,32.0,2275.0,2500.0,2800.0,1100.0,81
1911,BC,"Beans, all dry (white and coloured)",95.0,1335.0,200.0,400.0,150.0,19
1911,BC,Corn for silage,0.83,15000.0,3000.0,400.0,200.0,25
1911,BC,Mixed grains,35.0,1500.0,1350.0,2200.0,900.0,47
1911,BC,Oats,37.0,2005.0,36700.0,45300.0,18300.0,1355
1911,BC,"Peas, dry",53.0,2000.0,1200.0,1500.0,600.0,63
1911,BC,"Rye, all",0.0,0.0,0.0,0.0,0.0,0
1911,BC,Tame hay,1.95,5400.0,308000.0,141800.0,57000.0,5996
1911,BC,"Wheat, all",36.0,1910.0,10500.0,13700.0,5500.0,383
1911,CA,Barley,26.0,1575.0,968700.0,1522500.0,615550.0,24731
1911,CA,"Beans, all dry (white and coloured)",71.0,1290.0,27600.0,52900.0,21400.0,1956
1911,CA,Buckwheat,30.0,1220.0,184350.0,373100.0,151100.0,5443
1911,CA,Corn for grain,25.0,3730.0,487400.0,322100.0,130700.0,12360
1911,CA,Corn for silage,0.54,20270.0,2433000.0,295500.0,120050.0,13063
1911,CA,Flaxseed,59.0,720.0,392200.0,1351000.0,546050.0,23179
1911,CA,Mixed grains,30.0,1505.0,320550.0,525500.0,212650.0,9528
1911,CA,Oats,24.0,1445.0,5640100.0,9641200.0,3901300.0,133256
1911,CA,"Peas, dry",38.0,1065.0,127000.0,294800.0,119400.0,4770
